"시점",제주특별자치도,제주특별자치도
"시점",남자인구수 (명),여자인구수 (명)
"1992",249339,256445
"1993",252048,258536
"1994",253666,260239
"1995",256182,262654
"1996",258411,264611
"1997",260931,266655
"1998",264720,269288
"1999",267338,271406
"2000",269126,273242
"2001",271394,275495
"2002",273871,276960
"2003",274841,277456
"2004",276693,278669
"2005",278281,279288
"2006",278854,279642
"2007",279246,280012
"2008",280088,280530
"2009",281319,281344
"2010",285582,285673
"2011",288152,288004
"2012",292213,291500
"2013",297504,296302
"2014",304656,302690
"2015",313428,310967
"2016",322545,319052
"2017",330823,326260
"2018",335719,331472
"2019",337345,333644
"2020",338609,336026
"2021",339177,337582
"2022",339590,338569